language	family	phoneInventory
!Xóõ	KHOISAN	ʘ,ǀ,ǁ,ǃ,ǂ,t,ts,k,q,i,e,a,o,u,ɡʘ,ɡǀ,ɡǁ,ɡǃ,ɡǂ,tʰ,tsʰ,kʰ,qʰ,ẽ,ã,õ,ũ,ʘn,ǀn,ǁn,ǃn,ǂn,b,d,dz,ɡ,i̤,e̤,a̤,o̤,ṳ,ʔʘn,ʔǀn,ʔǁn,ʔǃn,ʔǂn,dʰ,dzʰ,aˤ,oˤ,uˤ,ʘn̥,ǀn̥,ǁn̥,ǃn̥,ǂn̥,dʲ,iʔ,eʔ,aʔ,oʔ,uʔ,ʘq,ǀq,ǁq,ǃq,ǂq,tx,tsx,ẽ̤,ã̤,õ̤,ṳ̃,mʘG,mǀG,mǁG,mǃG,mǂG,dx,dzx,a̤ʔ,o̤ʔ,ṳʔ,ʘqʰ,ǀqʰ,ǁqʰ,ǃqʰ,ǂqʰ,tsʼ,kxʼ,ã̤ʔ,õ̤ʔ,ʘx,ǀx,ǁx,ǃx,ǂx,dzʼ,ɡkx’,ãˤ,õˤ,ũˤ,ʘqʔ,ǀqʔ,ǁqʔ,ǃqʔ,ǂqʔ,tʼkxʼ,tsʼkxʼ,aˤʔ,uˤʔ,ʘkxʔ,ǀkxʔ,ǁkxʔ,ǃkxʔ,ǂkxʔ,dʼkxʼ,dzʼkxʼ,a̤ˤ,o̤ˤ,ṳˤ,ʘʰ,ǀʰ,ǁʰ,ǃʰ,ǂʰ,s,x,ã̤ˤ,ʘʔ,ǀʔ,ǁʔ,ǃʔ,ǂʔ,m,n,ɲ,ĩʔ,ãʔ,õʔ,ũʔ,ɡʘx,ɡǀx,ɡǁx,ɡǃx,ɡǂx,ʔm,ʔn,ɡʘʰ,ɡǀʰ,ɡǁʰ,ɡǃʰ,ɡǂʰ,ɡʘkx,ɡǀkx,ɡǁkx,ɡǃkx,ɡǂkx
Abujhmaria	DRAVIDIAN	p,t̪,ʈ,tʃ,k,b,d̪,ɖ,dʒ,ɡ,iː,uː,s,h,i,u,m,n,ŋ,eː,oː,r,e,o,ɽ,aː,l,a,w,j
Abun	WEST PAPUAN	p,t,k,b,d,dʒ,ɡ,b,ⁿd,ⁿdʒ,ɡ,i,u,f,s,ʃ,e,o,m,n,ɲ,a,r,w,j
Acehnese	AUSTRONESIAN	p,t,tʃ,k,ʔ,i,ɯ,u,b,d,dʒ,ɡ,e,ɤ,o,s,ʃ,ɛ,ʌ,ɔ,m,n,ɲ,ŋ,a,r,ĩ,ɯ̃,ũ,l,ɛ̃,ʌ̃,ɔ̃,w,j,h,ã
Adyghe (Bzhedukh dialect)	NORTH CAUCASIAN	pʰ,tʰ,tsʰ,tʃʰʷ,ʈʂʰ,t̻ɕʰ,kʰʷ,qʰ,qʰʷ,p,t,ts,tʃʷ,ʈʂ,t̻ɕ,k,kʷ,q,qʷ,ə,b,d,dz,dʒʷ,ɖʐ,d̻ʑ,ɡʷ,a,pʼ,tʼ,tsʼ,ʈʂʼ,t̻ɕʼ,kʼ,kʼʷ,ʔ,ʔʷ,ʂʰ,ɕʰ,xʰ,f,s,ɬ,ʃ,ʃʷ,ʂ,ɕ,x,χ,χʷ,ħ,z,ɮ,ʒ,ʒʷ,ʐ,ʑ,ɣ,ʁ,ʁʷ,ɬʼ,ʃʼ,ʃʼʷ,m,n,r,w,j
Af Tunni Somali (Tunni)	AFRO-ASIATIC (Cushitic)	t̪ʰ,kʰ,ʔ,b,d̪,ɖ,dʒ,ɡ,ɢ,ɪ̘,ʊ̘,ʄ,ɪ,ʊ,f,s,ʃ,h,ɛ̘,ɔ̘,m,n̪,ɲ,ŋ,ɛ,ə,ɔ,r,a̠,a,l,w,j
Afar	AFRO-ASIATIC (Cushitic)	t,k,iː,uː,b,d,ɖ,ɡ,i,u,f,s,ħ,h,eː,oː,ʕ,e,o,m,n,aː,r,a,w,l,j
Afrikaans	INDO-EUROPEAN (Germanic)	p,t,k,b,d,əi,oə,i,y,u,f,s,x,œi,œu,ɪ,v,ɦ,øə,ɛː,œː,ɔː,m,n,ŋ,eə,ai,ɛ,œ,ɔ,l,aː,r,a,j
Afrikaans (in the Transvaal and the Free State)	INDO-EUROPEAN (Germanic)	p,t,k,b,d,əi,oə,i,y,u,f,s,x,œi,œu,ɪ,v,ɦ,øə,ɛː,œː,ɔː,m,n,ŋ,eə,ai,ɛ,œ,ɔ,l,aː,r,a,j
Agarabi	TRANS-NEW GUINEA	p,t,k,ʔ,b,d,i,u,m,n,e,ə,o,r
